,label
0,0
1,1
2,0
3,1
4,1
5,0
6,0
7,1
8,1
9,1
10,0
11,1
12,1
13,1
14,1
15,0
16,1
17,0
18,0
19,1
20,0
21,1
22,1
23,0
24,0
25,0
26,1
27,1
28,1
29,0
30,0
31,1
32,0
33,0
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,0
57,0
58,1
59,0
60,1
61,1
62,0
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,1
71,1
72,1
73,0
74,1
75,1
76,0
77,0
78,1
79,1
80,0
81,1
82,1
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,0
100,0
101,0
102,1
103,1
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,0
127,1
128,1
129,0
130,1
131,1
132,0
133,1
134,1
135,1
136,1
137,0
138,1
139,0
140,1
141,1
142,1
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,0
151,0
152,1
153,1
154,1
155,0
156,1
157,1
158,1
159,1
160,0
161,1
162,0
163,1
164,1
165,1
166,1
167,0
168,1
169,0
170,0
171,1
172,1
173,0
174,1
175,0
176,1
177,0
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,1
187,1
188,1
189,1
190,0
191,0
192,1
193,1
194,1
195,0
196,1
197,1
198,1
199,1
200,0
201,1
202,1
203,0
204,1
205,0
206,1
207,1
208,0
209,1
210,1
211,0
212,0
213,1
214,1
215,1
216,1
217,1
218,0
219,0
220,1
221,1
222,0
223,1
224,1
225,0
226,1
227,1
228,1
229,0
230,1
231,0
232,0
233,1
234,0
235,1
236,0
237,1
238,1
239,0
240,1
241,1
242,1
243,0
244,1
245,1
246,1
247,0
248,1
249,1
250,1
251,0
252,1
253,0
254,1
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,1
263,1
264,0
265,1
266,1
267,0
268,0
269,1
270,0
271,1
272,0
273,1
274,1
275,1
276,1
277,0
278,1
279,1
280,0
281,1
282,0
283,0
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,1
292,0
293,0
294,0
295,1
296,0
297,1
298,0
299,0
300,1
301,1
302,1
303,0
304,1
305,0
306,0
307,0
308,1
309,1
310,0
311,0
312,1
313,0
314,1
315,1
316,1
317,0
318,1
319,0
320,0
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,0
336,1
337,0
338,1
339,1
340,0
341,0
342,0
343,0
344,1
345,1
346,0
347,1
348,1
349,1
350,0
351,0
352,0
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,0
362,1
363,0
364,0
365,1
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,1
374,1
375,0
376,0
377,1
378,1
379,0
380,0
381,1
382,0
383,1
384,1
385,1
386,1
387,1
388,1
389,0
390,1
391,1
392,0
393,0
394,1
395,1
396,1
397,1
398,0
399,1
400,1
401,1
402,0
403,0
404,1
405,1
406,0
407,0
408,0
409,0
410,1
411,1
412,1
413,0
414,1
415,0
416,0
417,1
418,0
419,0
420,1
421,0
422,0
423,0
424,0
425,0
426,1
427,1
428,1
429,1
430,1
431,0
432,1
433,1
434,1
435,1
436,1
437,1
438,0
439,0
440,1
441,1
442,1
443,0
444,1
445,1
446,0
447,1
448,0
449,0
450,1
451,1
452,0
453,1
454,0
455,1
456,1
457,1
458,1
459,0
460,1
461,0
462,0
463,1
464,1
465,1
466,1
467,1
468,0
469,0
470,0
471,0
472,1
473,0
474,1
475,1
476,1
477,0
478,1
479,1
480,0
481,1
482,1
483,0
484,1
485,0
486,0
487,1
488,0
489,1
490,0
491,1
492,0
493,0
494,0
495,0
496,1
497,0
498,0
499,1
500,0
501,1
502,1
503,1
504,1
505,0
506,1
507,1
508,0
509,1
510,0
511,0
512,0
513,1
514,1
515,1
516,1
517,0
518,0
519,1
520,1
521,1
522,1
523,1
524,1
525,0
526,1
527,0
528,0
529,1
530,0
531,0
532,0
533,0
534,1
535,1
536,0
537,1
538,1
539,1
540,1
541,0
542,0
543,1
544,1
545,0
546,1
547,1
548,0
549,0
550,0
551,0
552,1
553,1
554,0
555,1
556,0
557,1
558,1
559,1
560,1
561,0
562,0
563,1
564,0
565,1
566,1
567,1
568,0
569,1
570,0
571,0
572,0
573,0
574,0
575,1
576,1
577,1
578,1
579,0
580,0
581,0
582,0
583,0
584,1
585,1
586,1
587,1
588,1
589,0
590,0
591,0
592,0
593,1
594,1
595,0
596,1
597,0
598,0
599,0
