,label
0,2
1,1
2,0
3,0
4,2
5,2
6,2
7,1
8,2
9,2
10,2
11,0
12,2
13,2
14,2
15,0
16,2
17,2
18,1
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,0
27,2
28,2
29,2
30,1
31,0
32,2
33,0
34,1
35,1
36,2
37,1
38,2
39,1
40,1
41,1
42,1
43,2
44,1
45,1
46,0
47,2
48,1
49,0
50,0
51,0
52,1
53,1
54,0
55,2
56,2
57,1
58,1
59,1
60,2
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,1
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,2
82,0
83,1
84,2
85,1
86,2
87,0
88,2
89,2
90,0
91,0
92,2
93,2
94,1
95,0
96,1
97,1
98,0
99,0
100,1
101,0
102,0
103,2
104,1
105,2
106,0
107,0
108,2
109,1
110,0
111,2
112,0
113,0
114,2
115,0
116,2
117,1
118,1
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,1
130,1
131,1
132,1
133,1
134,2
135,0
136,0
137,2
138,2
139,1
140,0
141,0
142,1
143,2
144,1
145,2
146,0
147,0
148,0
149,1
150,2
151,2
152,2
153,2
154,1
155,2
156,0
157,0
158,0
159,2
160,0
161,0
162,0
163,0
164,0
165,0
166,2
167,0
168,1
169,0
170,2
171,0
172,2
173,2
174,2
175,2
176,2
177,2
178,0
179,0
180,1
181,1
182,0
183,2
184,0
185,2
186,2
187,2
188,0
189,0
190,0
191,2
192,1
193,2
194,1
195,1
196,2
197,1
198,1
199,0
200,0
201,0
202,0
203,2
204,2
205,0
206,2
207,2
208,1
209,0
210,2
211,0
212,1
213,1
214,1
215,0
216,0
217,2
218,1
219,1
220,1
221,0
222,1
223,1
224,0
225,1
226,0
227,2
228,1
229,1
230,1
231,2
232,0
233,1
234,0
235,0
236,1
237,0
238,1
239,2
240,2
241,1
242,1
243,0
244,1
245,2
246,2
247,0
248,1
249,1
250,0
251,1
252,1
253,2
254,2
255,1
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,1
264,0
265,0
266,1
267,1
268,2
269,1
270,2
271,1
272,1
273,0
274,0
275,0
276,0
277,1
278,2
279,2
280,2
281,2
282,1
283,2
284,1
285,0
286,2
287,2
288,1
289,1
290,1
291,1
292,2
293,2
294,1
295,0
296,2
297,0
298,1
299,2
300,1
301,2
302,0
303,0
304,2
305,1
306,1
307,2
308,2
309,0
310,0
311,1
312,0
313,1
314,1
315,2
316,2
317,1
318,0
319,2
320,2
321,2
322,2
323,1
324,1
325,2
326,1
327,0
328,0
329,0
330,0
331,1
332,2
333,2
334,1
335,0
336,1
337,1
338,1
339,2
340,2
341,2
342,1
343,0
344,1
345,1
346,2
347,2
348,2
349,1
350,2
351,1
352,1
353,0
354,0
355,0
356,0
357,1
358,2
359,1
360,0
361,0
362,0
363,1
364,2
365,1
366,1
367,1
368,2
369,1
370,2
371,0
372,2
373,1
374,0
375,1
376,0
377,1
378,2
379,1
380,0
381,0
382,2
383,1
384,0
385,0
386,2
387,1
388,0
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,1
400,1
401,0
402,1
403,2
404,0
405,1
406,2
407,0
408,0
409,2
410,0
411,0
412,0
413,0
414,0
415,0
416,1
417,0
418,0
419,1
420,1
421,2
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,2
438,1
439,2
440,1
441,1
442,0
443,0
444,2
445,0
446,0
447,1
448,1
449,1
450,1
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,1
470,1
471,0
472,0
473,0
474,1
475,0
476,0
477,0
478,1
479,0
480,0
481,2
482,0
483,1
484,0
485,1
486,2
487,0
488,0
489,0
490,0
491,1
492,2
493,1
494,0
495,0
496,0
497,2
498,0
499,0
500,2
501,0
502,0
503,0
504,2
505,0
506,0
507,0
508,2
509,0
510,1
511,0
512,0
513,1
514,1
515,0
516,0
517,2
518,0
519,0
520,0
521,0
522,0
523,2
524,0
525,0
526,1
527,0
528,2
529,2
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,2
538,0
539,0
540,0
541,1
542,1
543,0
544,2
545,0
546,0
547,0
548,0
549,0
550,1
551,0
552,0
553,0
554,0
555,1
556,0
557,0
558,1
559,0
560,1
561,0
562,1
563,0
564,0
565,2
566,0
567,0
568,0
569,0
570,0
571,1
572,2
573,2
574,0
575,0
576,0
577,1
578,0
579,0
580,1
581,0
582,0
583,0
584,2
585,0
586,0
587,0
588,1
589,2
590,0
591,1
592,1
593,0
594,1
595,1
596,0
597,0
598,0
599,0
600,0
601,0
602,1
603,0
604,0
605,0
606,0
607,0
608,2
609,0
610,0
611,0
612,2
613,2
614,0
615,0
616,0
617,1
618,2
619,0
620,0
621,0
622,0
623,0
624,0
625,1
626,0
627,0
628,2
629,1
630,0
631,1
632,0
633,0
634,0
635,2
636,0
637,1
638,1
639,2
640,0
641,2
642,0
643,1
644,0
645,2
646,0
647,0
648,1
649,1
650,0
651,0
652,0
653,1
654,0
655,0
656,2
657,0
658,0
659,0
660,0
661,1
662,0
663,2
664,2
665,0
666,0
667,0
668,1
669,0
670,0
671,1
672,1
673,1
674,0
675,0
676,2
677,0
678,0
679,0
680,0
681,2
682,0
683,0
684,0
685,0
686,2
687,1
688,2
689,1
690,0
691,0
692,0
693,1
694,0
695,1
696,0
697,1
698,0
699,0
700,1
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,1
720,0
721,0
722,0
723,2
724,0
725,0
726,2
727,0
728,0
729,0
730,0
731,0
