Customer_Query,Category
How can I reset my password?,Technical Support
"My order hasn't arrived yet, what should I do?",Order Issue
I need a refund for my purchase.,Refund Request
Do you offer international shipping?,General Inquiry
The product I received is damaged.,Order Issue
How can I contact customer support?,General Inquiry
Is there a warranty on your products?,General Inquiry
I want to change my delivery address.,Order Issue
What payment methods do you accept?,General Inquiry
How do I track my order?,Order Issue
How do I apply a discount code?,General Inquiry
"My product arrived defective, what should I do?",Order Issue
Do you have a mobile app?,General Inquiry
How long does shipping take?,General Inquiry
Can I change my payment method after placing an order?,Order Issue
"My package is delayed, can I get a refund?",Refund Request
What is your return policy?,General Inquiry
How do I cancel my subscription?,General Inquiry
"The payment failed, what should I do?",Technical Support
Do you offer gift cards?,General Inquiry
How can I check my reward points?,General Inquiry
My tracking number is not working.,Order Issue
Can I expedite my shipping?,General Inquiry
Do you offer bulk discounts?,General Inquiry
How do I reset my security question?,Technical Support
Why was my order canceled?,Order Issue
Can I return an item without a receipt?,General Inquiry
Is my personal data safe on your platform?,General Inquiry
Can I get an invoice for my order?,General Inquiry
Do you have a loyalty program?,General Inquiry
How do I report a fraudulent transaction?,Technical Support
Can I modify my order after checkout?,Order Issue
My order was delivered to the wrong address.,Order Issue
How do I track my refund status?,Refund Request
Can I schedule a delivery time?,General Inquiry
What warranty do you offer on your products?,General Inquiry
How do I change my email preferences?,General Inquiry
Do you provide technical support for your products?,Technical Support
Why was my payment declined?,Technical Support
Can I split my payment across multiple cards?,General Inquiry
How do I unsubscribe from promotional emails?,General Inquiry
Do you have a student discount?,General Inquiry
Where can I find your physical store locations?,General Inquiry
Can I pre-order an item?,General Inquiry
How do I reset my two-factor authentication?,Technical Support
My order was marked as delivered but I haven’t received it.,Order Issue
Can I upgrade my shipping after placing an order?,Order Issue
Do you offer installation services?,General Inquiry
How do I activate my warranty?,General Inquiry
"My gift card isn’t working, what should I do?",Technical Support
Can I transfer my reward points to another account?,General Inquiry
How do I download an invoice for my past orders?,General Inquiry
How do I request a product demo?,General Inquiry
Can I return an item bought on sale?,General Inquiry
How do I update my saved payment methods?,General Inquiry
What should I do if I receive an incorrect item?,Order Issue
How do I check if a product is in stock?,General Inquiry
How can I report a missing package?,Order Issue
Can I change my billing address after purchase?,Order Issue
Do you have a referral program?,General Inquiry
Can I delay my shipment?,General Inquiry
