Month,Data Usage (GB)
2022-01,2.1
2022-02,2.2
2022-03,2.3
2022-04,2.4
2022-05,2.6
2022-06,2.8
2022-07,3
2022-08,3.2
2022-09,3.4
2022-10,3.5
2022-11,3.7
2022-12,3.8
2022-01,1
2022-02,1.1
2022-03,1.2
2022-04,1.3
2022-05,1.4
2022-06,1.5
2022-07,1.6
2022-08,1.7
2022-09,1.8
2022-10,1.9
2022-11,2
2022-12,2.1
2022-01,3
2022-02,3.1
2022-03,3.2
2022-04,3.3
2022-05,3.4
2022-06,3.6
2022-07,3.7
2022-08,3.8
2022-09,3.9
2022-10,4
2022-11,4.1
2022-12,4.2
2022-01,0.9
2022-02,1
2022-03,1.1
2022-04,1.2
2022-05,1.2
2022-06,110
2022-07,120
2022-08,130
2022-09,140
2022-10,150
2022-11,160
2022-12,170
2022-01,180
2022-02,190
2022-03,200
2022-04,210
2022-05,220
2022-06,230
2022-07,240
2022-08,250
2022-09,260
2022-10,270
2022-11,280
2022-12,290
2022-01,310
2022-02,320
2022-03,330
2022-04,340
2022-05,350
2022-06,360
2022-07,370
2022-08,380
2022-09,390
2022-10,400
2022-11,410
2022-12,420
